character_name,traits,category,traints
costas mandylor,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sobhita dhulipala,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
hattie morahan,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kim young-dae,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
aly michalka,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
rebecca olson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jack lowden,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
takanori iwata,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
mei nagano,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
trey parker,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sheryl lee,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
elizaveta boyarskaya,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
freya mavor,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
alessandro gassmann,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
samantha ferris,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
hirona yamazaki,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kim novak,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
lee ingleby,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
melissa mcbride,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
hannah van der westhuysen,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
john schneider,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jesse mccartney,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jeon so-min,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
pearce joza,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
david niven,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
karl malden,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
nur fettahoğlu,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jason scott lee,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sophie okonedo,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
violet mcgraw,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
